nome;sigla;natureza;categoria;projeto;tipo_logradouro;nome_logradouro;numero;complemento;bairro;municipio;uf;cep;ddd;telefone1;telefone2;e-mail;24horas;horario_inicio;horario_fim;dias_funcionamento;presencial;online;funcionamento_pandemia;obs_pandemia;latitude;longitude;verificado;existe_delegacia;delegacia_mulher;endereco_correto;horario_correto;telefone_correto;observacao 
Delegacia Especial de Atendimento à Mulher Feira de Santana;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Adenil Falcão;1252;;Brasília;Feira de Santana;BA;44003-000;75;36029235;36029215;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-12,2723433;-38,9535547;Sim;Sim;Sim;Não;Sim;Sim;Delegacia fecha para almoço das 12h às 14h. Atendimento presencialmente somente casos mais urgentes
Delegacia Especial de Atendimento à Mulher - Camaçari;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Delegado Clayton Leão Chaves;s/n;;Centro;Camaçari;BA;42800-400;71;36227834;36013504;deamcamacari@hotmail.com;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-12,7340996;-38,2889141;Sim;Sim;Sim;Sim;Não;Sim;
Delegacia Especial de Atendimento à Mulher - Salvador;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Doutor Almeida;72;;Periperi;Salvador;BA;40720-070;71;31178217;31178205;deamperiperi@hotmail.com;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-12,8636848;-38,4729835;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especial de Atendimento à Mulher - Ilhéus;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Litorânea Norte;s/n;;Malhado;Ilhéus;BA;45651-620;75;32345274;32345273;deam.ilheus@gmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-14,7852387;-39,0429286;Sim;Sim;Sim;Sim;Sim;Sim;
"Delegacia Especial de Atendimento à Mulher - Itabuna
";DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Rio Almada;196;;Góes Calmon;Itabuna;BA;45605-375;73;32147822;;catarigalvao@hotmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-14,7980184;-39,2745154;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especial de Atendimento à Mulher - Vitória da Conquista;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Humberto de Campos;205;;Jurema;Vitória da Conquista;BA;45023-140;77;34258369;;deamvc@gmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-14,8616353;-40,8500571;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especial de Atendimento à Mulher - Teixeira de Freitas;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Santa Bárbara;s/n;;Bom Jesus;Teixeira de Freitas;BA;45995-410;73;32923651;;deamdeteixeiradefreitas@gmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-17,5304604;-39,7435318;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Defesa da Mulher - Caucaia;DDMC;público;Delegacia da Mulher;mapa_delegacia;Rua;Porcina Leite;113;;Parque Soledade;Caucaia;CE;61603-120;85;31017926;;ddmcaucaia@policiacivil.ce.gov.br;Não;08:00;17:00;Dias úteis;Sim;Sim;Sim;;-3,737234;-38,6543725;Sim;Sim;Sim;Sim;Não;Sim;
Delegacia de Defesa da Mulher - Sobral;DDM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Lúcia Sabóia;358;;Centro;Sobral;CE;62010-830;88;36774282;;ddmsobral@policiacivil.ce.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-3,6924986;-40,3549604;Não;;;;;;
Delegacia de Defesa da Mulher - Fortaleza;DDM;público;Delegacia da Mulher;mapa_delegacia;Rua;Teles de Sousa;s/n;;Couto Fernandes;Fortaleza;CE;60442-040;85;31082950;;ddmfortaleza@policiacivil.ce.gov.br;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-3,7583921;-38,5613455;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Defesa da Mulher - Maracanaú;DDM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Padre José Holanda do Vale;1961;;Cagado;Maracanaú;CE;61905-292;85;33717835;;ddmmaracanau@policiacivil.ce.gov.br;Não;08:00;18:00;Dias úteis;;;;;-3,8745104;-38,6293446;Não;;;;;;
Delegacia de Defesa da Mulher - Pacatuba;DDM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Marginal Nordeste;s/n;;Conjunto Jereissati 3;Pacatuba;CE;61800-000;85;33845820;;ddmpacatuba@policiacivil.ce.gov.br;Não;08:00;16:00;Dias úteis;Sim;Sim;Sim;;-3,8911652;-38,610581;Sim;Sim;Sim;Sim;Não;Sim;
Delegacia de Defesa da Mulher - Quixadá;DDM;público;Delegacia da Mulher;mapa_delegacia;Rua;Vicente Albano de Sousa;2072;;Jardim Monolitos;Quixadá;CE;63900-000;88;31017918;;ddmquixada@policiacivil.ce.gov.br;Não;08:00;18:00;Dias úteis;;;;;-4,9546847;-39,008457;Não;;;;;;
Delegacia de Defesa da Mulher - Iguatu;DDM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Monsenhor Coelho;s/n;;São Sebastião;Iguatu;CE;63500-000;88;35819454;;ddmiguatu@policiacivil.ce.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-6,3585491;-39,295926;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Defesa da Mulher - Icó;DDM;público;Delegacia da Mulher;mapa_delegacia;Rua;Padre José Alves de Macedo;963;;Novo Centro;Icó;CE;63430-000;88;31017922;;ddmico@policiacivil.ce.gov.br;Não;08:00;18:00;Dias úteis;;;;;-6,4080991;-38,8600502;Não;;;;;;
Delegacia de Defesa da Mulher - Juazeiro do Norte;DDM;público;Delegacia da Mulher;mapa_delegacia;Rua;das Flores;s/n;;Santa Tereza;Juazeiro do Norte;CE;63050-735;88;31021102;;ddmjuazeiro@policiacivil.ce.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-7,2214249;-39,3210822;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Defesa da Mulher - Crato;DDM;público;Delegacia da Mulher;mapa_delegacia;Rua;Coronel Segundo;216;;Centro;Crato;CE;63100-480;88;31021250;;ddmcrato@policiacivil.ce.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-7,2349065;-39,4178392;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especial de Atendimento à Mulher - Brasília;DEAM;público;Delegacia da Mulher;mapa_delegacia;Quadra;EQS 204/205;s/n;;Asa Sul;Brasília;DF;70234-400;61;32076172;32076195;;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-15,8118783;-47,894699;Sim;Sim;Sim;Sim;Sim;Sim;Atendimento presencial com u metro de distância e só uma por vez na pandemia.
Delegacia Especial de Atendimento à Mulher II;DEAM;público;Delegacia da Mulher;mapa_delegacia;Praça;da Estrela;s/n;Lote 01;Centro Metropolitano;Taguatinga;DF;72210-515;61;32077391;;;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-15,8156748;-48,108292;Sim;Sim;Sim;Sim;Sim;Sim;Atendimento uma por vez por conta da pandemia
Delegacia Especializada de Atendimento à Mulher - Colatina;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;das nações;852;;Colatina Velha;Colatina;ES;29700-544;27;31777121;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-19,528262;-40,6209807;Sim;Sim;Sim;Não;Sim;Sim;Chegar até 17h00, pois o sistema demora
Delegacia Especializada de Atendimento à Mulher - Vitória;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Cândido Portinari;s/n;;Santa Luíza;Vitória;ES;29045-402;27;31379115;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,291345;-40,3032063;Sim;Sim;Sim;Sim;Sim;Sim;Chegar até 17h00, pois o sistema demora
Delegacia Especializada de Atendimento à Mulher - São Mateus;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Eurico Sales;1221;1º andar;Boa Vista;São Mateus;ES;29931-450;27;37678135;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-18,7171437;-39,8700177;Sim;Sim;Sim;Sim;Sim;Sim;Policial orientou a fazer B.O. no endereço Emerlino Carneiro Sobrinho, 126. Depois ir à DEAM, chegar até as 17h00.
Delegacia Especializada de Atendimento à Mulher - Linhares (Delegacia Regional);DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;José Candido Durão;s/n;;Três Barras;Linhares;ES;29907-050;27;32642537;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-19,3733183;-40,070864;Sim;Sim;Sim;Sim;Sim;Sim;"Chegar até as 17h00, pois demora por conta do sistema 
"
Delegacia Especializada de Atendimento à Mulher - Aracruz;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;José C. da Rocha;15;;Barra do Riacho;Aracruz;ES;29190-058;27;32568186;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-19,8211299;-40,2772641;Sim;Sim;Sim;Não;Sim;Sim;Não faz B.O. na DEAM, orientação ir ao plantão no mesmo endereço 
Delegacia Especializada de Atendimento à Mulher - Serra;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Sebastião Rodrigues Miranda;49;2ª andar;Boa Vista II;Serra;ES;29461-027;27;33287217;33287212;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,2377681;-40,2832738;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Plantão Especial da Mulher da Região Metropolitana (PEM);PEM;público;Delegacia da Mulher;mapa_delegacia;Rua;Hermes Curry Carneiro;350;;Ilha de Santa Maria;Vitória;ES;29051-210;27;33234045;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,3134973;-40,3195077;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Venda Nova do Imigrante;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Vinte de Julho;136;;Centro;Venda Nova do Imigrante;ES;29375-000;28;35461124;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,3271127;-41,1447651;Sim;Sim;Sim;Não;Sim;Sim;Fecha para almoço
Delegacia Especializada de Atendimento à Mulher - Vila Velha;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Luciano das Neves;430;;Prainha;Vila Velha;ES;29123-000;27;33882481;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,3349364;-40,2950619;Sim;Sim;Sim;Sim;Sim;Sim;Chegar até as 16h30
Delegacia Especializada de Atendimento à Mulher - Cariacica;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Mario Gurgel;s/n;BR 262, Km 3,5;Vera Cruz;Cariacica;ES;29146-797;27;31363118;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,3359555;-40,3792876;Sim;Sim;Sim;Não;Sim;Sim;Chegar até as 15h30 para fazer B.O. e pedir medida protetiva, pois precisa encaminhar para o juiz até as 16h00
Delegacia Especializada de Atendimento à Mulher - Viana;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Frederico Ozanan;62;;Centro;Viana;ES;29130-154;27;32551171;32553095;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,3898911;-40,4983929;Sim;Sim;Sim;Não;Sim;Sim;Chegar até as 17h00
Delegacia Especializada de Atendimento à Mulher - Guarapari;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Santo Antônio;313;;Muquiçaba;Guarapari;ES;29215-030;27;32627022;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,6625667;-40,50203;Sim;Sim;Sim;Sim;Sim;Sim;Atendimento presencial somente em casos urgentes
Delegacia Especializada de Atendimento à Mulher - Cachoeiro de Itapemirim (Delegacia Regional);DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Coelho Melo;1;;Ibitiquara;Cachoeiro de Itapemirim;ES;29307-202;28;31555084;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,8475985;-41,1102651;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Nova Venécia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Vitória;17;;Centro;Nova Venécia;ES;29830-000;27;37526108;;;Não;08:00;18:00;Dias úteis;;;;;-18,7093989;-40,4060917;Não;;;;;;
14ª Delegacia Regional de Polícia - Jataí;DP;público;Posto de Atendimento em Delegacia Comum;mapa_delegacia;Rua;Doutor Flavinho;200;Quadra 41, Lote Prof. Maromba;St. Central;Jataí;GO;74003-010;64;36320711;;;;;;;;;;;-17,8810477;-51,7118406;Não;;;;;;
Delegacia Especializada de Atendimento à Mulher - Trindade;DEAM;público;Delegacia da Mulher;mapa_delegacia;Alameda;Wilsom Torrano;340;;Vila Santa Ines;Trindade;GO;75380-000;62;35057539;;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-16,655524;-49,4938749;Sim;Sim;Sim;Sim;Sim;Sim;
8º Delegacia Regional da Policia Civil de Rio Verde;DP;público;Posto de Atendimento em Delegacia Comum;mapa_delegacia;Rua;Guanabara;76;;St. Pausanes;Rio Verde;GO;75904-015;64;36200950;;;Sim;00:00;23:59;Todos os dias;Sim;Não;Sim;;-17,783163;-50,921681;Sim;Sim;Sim;Sim;Não;Sim;A DDM atende das 07h30 ás 16h30, depois tem o plantão 24hrs, mas não conta com atendimento especializado
Delegacia Especializada no Atendimento à Mulher Catalão;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Seis;285;;Mãe de Deus;Catalão;GO;75702-210;64;34411622;34411623;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-18,163686;-47,9493496;Sim;Sim;Sim;Sim;Sim;Sim;Chegar até as 16h45
Delegacia Especializada no Atendimento à Mulher – Porangatu;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Quatro;56;Quadra 4, Lote 7/15;Setor Vera Lúcia;Porangatu;GO;76550-000;62;33625903;33625906;;Não;08:00;14:00;Dias úteis;Sim;Não;Sim;;-13,4438524;-49,1378425;Sim;Sim;Sim;Sim;Não;Sim;
"Delegacia Especializada no Atendimento à Mulher - Formosa
";DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Alves de Castro;82;;Centro;Formosa;GO;73801-140;61;36317793;36316935;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-15,5384684;-47,3370687;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada em Atendimento à Mulher - Águas Lindas de Goiás;DEAM;público;Delegacia da Mulher;mapa_delegacia;Quadra;Onze ;s/n;Lote 13;Jardim Querência;Águas Lindas de Goiás;GO;72910-705;61;36130701;;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-15,7566335;-48,2632612;Sim;Sim;Sim;Sim;Sim;Sim;O local fica no mesmo prédio do Conselho Tutelar
Delegacia - Santo Antônio do Descoberto;DP;público;Posto de Atendimento em Delegacia Comum;mapa_delegacia;Quadra;21/22;s/n;;Área Especial;Santo Antônio do Descoberto;GO;72900-000;61;36260421;36260289;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-15,9423225;-48,2982258;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Novo Gama;DEAM;público;Delegacia da Mulher;mapa_delegacia;Área;Especial;s/n;Quadra 16;Lunabel 3-A;Novo Gama;GO;72025-065;61;36142784;;;Não;08:00;17:00;Dias úteis;Sim;Não;Sim;;-16,0830683;-48,0682975;Sim;Sim;Sim;Sim;Sim;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia Especializada da Mulher - Luziânia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Benedito Pimentel;1;;Centro;Luziânia;GO;72800-590;61;36214490;36223627;;Não;08:00;17:00;Dias úteis;Sim;Não;Sim;;-16,2528822;-47,9544586;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia Especializada de Atendimento à Mulher - Anápolis;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Dez de Março;257;;St. Central;Anápolis;GO;75020-060;62;33282731;;;Não;08:00;17:00;Dias úteis;Sim;Não;Sim;;-16,3297592;-48,9558547;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Valparaíso;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Oito;s/n;Quadra 8, Casa 18;Valparaizo I;Valparaíso;GO;72870-318;61;36298246;;;Não;08:00;17:00;Dias úteis;;;;;-16,0721373;-47,985046;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher – Goiania (Região Noroeste);DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;do Povo com Rua E;s/n;;Jardim Curitiba-II;Goiânia;GO;74480-110;62;32016344;32016332;2deam-goiania@policiacivil.go.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;Presencialmente só está sendo atendido casos emergenciais;-16,6056676;-49,3387202;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada no Atendimento à Mulher - Goiânia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Vinte e Quatro;203;;St. Central;Goiânia;GO;74030-060;62;32012801;;deam-goiania@policiacivil.go.gov.br;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-16,6773864;-49,2535293;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada no Atendimento à Mulher - Aparecida de Goiânia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Paracatu;s/n;Quadra 7, Lote 81;Vila Brasilia;Aparecida de Goiânia;GO;74905-590;62;32012642;;;Não;08:00;17:30;Dias úteis;Sim;Não;Sim;;-16,7371602;-49,2825017;Sim;Sim;Sim;Sim;Sim;Sim;Chegar até as 17h00
Delegacia de Atendimento à Mulher - Mineiros;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Oitava;s/n;Quadra K, Lote 3;Setor Costa Nery;Mineiros;GO;75830-000;64;36615729;36615644;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-17,5602784;-52,5536975;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia da Mulher - Caldas Novas;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Alameda do Contôrno;s/n;Quadra D;Centro;Caldas Novas;GO;75690-000;64;34546640;;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-17,7427716;-48,6249863;Sim;Sim;Sim;Sim;Sim;Sim;Delegacia fecha para almoço das 12h ás 14h.  Necessário agendamento por telefone para fazer B.O. e solicitar medida protetiva
Delegacia Especializada de Atendimento à Mulher - Itumbiara;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Dom Emanuel;28;;St. Central;Itumbiara;GO;75503-270;64;34047711;34316758;;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-18,4184258;-49,217071;Sim;Sim;Sim;Sim;Sim;Sim;Fazer B.O. primeiro na delegacia regionale e é necessário agendamento por telefone para solicitar medida protetivae deve fazer B.O. primeiro na delegacia regional
Delegacia da Mulher - Senador Canedo;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Dom Emanuel;;;Santa Genoveva;Senador Canedo;GO;75250-000;62;32012426;;;Não;08:00;17:00;Dias úteis;;;;;-16,6849244;-49,1140592;Não;;;;;;
Delegacia de Polícia - Uruaçu;DP;público;Posto de Atendimento em Delegacia Comum;mapa_delegacia;Avenida;Rio Branco;10;;Vila Santana;Uruaçu;GO;76400-000;62;33571020;33572477;;Não;08:00;18:00;Dias úteis;;;;;-14,5254219;-49,1374834;Não;;;;;;
Delegacia de Polícia - Planaltina;DP;público;Posto de Atendimento em Delegacia Comum;mapa_delegacia;Quadra;179;s/n;Lote 1;Barrolândia;Planaltina;GO;73751-479;61;36378091;;;;;;;;;;;-15,6214472;-47,7222326;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Goianésia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Brasil;967;;Centro;Goianésia;GO;76380-000;62;33531127;33534821;;Não;08:00;18:00;Dias úteis;;;;;-15,3265057;-49,1164568;Não;;;;;;
Delegacia Especial da Mulher - São Luís;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Professor Carlos Cunha;572;Casa da Mulher Brasileira;Jaracaty;São Luís;MA;65076-820;98;32148649;32148651;kktanaka10@gmail.coM;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-2,5205651;-44,3011752;Sim;Sim;Sim;Não;Sim;Sim;
