id_estabelecimento,projeto,fonte,nome,sigla,natureza,categoria,abrangencia,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,cod_IBGE,uf,cep,ddd,telefone1,ramal1,telefone 2,ramal2,whatsapp,e-mail,24horas,horario_inicio,horario_fim,dias_funcionamento,presencial,online,funcionamento_pandemia,obs_pandemia,latitude,longitude,observacao
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Glória,CRAS,público,Assistência Social,Local,,Rua,São Bento,,,,Glória,Manaus,1302603,AM,69027400,92,36256033,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,068429","-60,033064",
,penhas,mapa_acolhimento,Instituto da Mulher e Maternidade Dona Lindu, ,público,Saúde,Regional,,Avenida,Mário Ypiranga,1580,,,Adrianópolis,Manaus,1302603,AM,69029520,92,36438100,,,,,instituto.imdl@saude.am.gov.br,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-3,098177","-60,013566",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Compensa,CRAS,público,Assistência Social,Local,,Rua,Da Indústria,77,,,Compensa ,Manaus,1302603,AM,69030070,92,36714767,,,,,,Não,07:00:00,15:00:00,Dias úteis,,,,,"-3,103004","-60,052809",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Compensa II,CRAS,público,Assistência Social,Local,,Rua,Dom Pedro I,102,,,Compensa II,Manaus,1302603,AM,69035650,92,36711426,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,104999","-60,064149",
,penhas,mapa_acolhimento,Maternidade Doutor Moura Tapajóz, ,público,Saúde,Local,,Avenida,Brasil,1335,,,Compensa,Manaus,1302603,AM,69036110,92,32168767,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-3,096072","-60,060423",
,penhas,mapa_acolhimento,USF Frei Valério Di Carlo (USF N32),UBS,público,Saúde,Local,,Rua,Rufino de Elizalde,16,,,Novo Israel,Manaus,1302603,AM,69039540,92,35813498,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,025080","-60,013940",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - No Alvorada,CRAS,público,Assistência Social,Local,,Rua,Agnaldo Acher Pinto,2000,,,,Manaus,1302603,AM,69042125,92,32392003,,,,,,Não,08:00:00,14:00:00,Dias úteis,,,,,"-3,074650","-60,055565",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Redenção,CRAS,público,Assistência Social,Local,,Rua,Olinda,,,,Redenção,Manaus,1302603,AM,69047000,92,36547775,,,,,,Não,07:00:00,14:00:00,Dias úteis,,,,,"-3,054668","-60,048565",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada em Crimes Contra a Mulher - Centro/Sul,DECCM,público,Delegacia da Mulher,Local,,Avenida,Mário Ypiranga,3395,,,Parque Dez de Novembro,Manaus,1302603,AM,69057002,92,36343879,,36427676,,,,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-3,088099","-60,020872",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - União (parque 10),CRAS,público,Assistência Social,Local,,Rua,Desembargador Gaspar Guimarães,288,,,Parque Dez de Novembro,Manaus,1302603,AM,69058808,92,36345078,,,,,,Não,07:30:00,13:30:00,Dias úteis,,,,,"-3,077385","-60,013810",
,penhas,mapa_acolhimento,USF Sálvio Belota,UBS,público,Saúde,Local,,Rua,Samambaia,786,,,Santa Etelvina,Manaus,1302603,AM,69059500,92,32147723,,,,,,Não,07:00:00,21:00:00,Segunda a sábado,,,,,"-2,984275","-60,012565",Sábado das 07:00 às 12:00
,penhas,mapa_acolhimento,Clínica da Família Carmem Nicolau,UBS,público,Saúde,Local,,Rua,Santa Tereza D'avila,,,,Lago Azul,Manaus,1302603,AM,69059665,,,,,,,,,,,,,,,,"-2,976932","-60,006411",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Amazonas - Manaus,DPE,público,Jurídico,Regional,,Avenida,André Araújo,639,,,Aleixo,Manaus,1302603,AM,69060000,92,31981422,,36333868,,,,Não,08:00:00,14:00:00,Dias úteis,,,,,"-3,104188","-60,005307",Online é 24h
,penhas,mapa_acolhimento,Tribunal de Justiça do Amazonas - Projeto Maria Acolhe,TJAM,público,Jurídico,Regional,,Avenida,André Araújo,,,,Aleixo,Manaus,1302603,AM,69060000,92,984169273,,,,sim,,Não,08:00:00,13:30:00,Dias úteis,,,,,"-3,100856","-59,998422",
,penhas,mapa_acolhimento,Núcleo de Atendimento Especializado à Mulher - Manaus,NAEM,público,Jurídico,Regional,,Avenida,,399,,,,Manaus,1302603,AM,69070580,92,32321356,,,,,,,,,,,,,,"-3,141883","-60,005061",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada em Crimes Contra a Mulher - Zona Sul,DECCM,público,Delegacia da Mulher,Local,,Rua,Desembargador Felismino Soares,155,,,Colônia Oliveira Machado,Manaus,1302603,AM,69070620,92,32143653,,,,,,Não,08:00:00,17:00:00,Dias úteis,Sim,Sim,Sim,,"-3,147606","-60,007725",
,penhas,mapa_acolhimento,UBS Doutor Luíza do Carmo Ribeiro Fernandes,UBS,público,Saúde,Local,,Estrada,Porto Velho,831,,,Vila Buriti,Manaus,1302603,AM,69072075,92,36159180,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,133925","-59,943002",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Betânia,CRAS,público,Assistência Social,Local,,Rua,São Lázaro,26,,,Betânia,Manaus,1302603,AM,69073090,92,32377678,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,132700","-59,997538",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Japiim,CRAS,público,Assistência Social,Local,,Avenida,Rodrigo Otávio,4701,,,Jardim Piim,Manaus,1302603,AM,69073177,,08007260101,,,,,,,,,,,,,,"-3,111372","-59,981161",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Crespo,CRAS,público,Assistência Social,Local,,Rua,Magalhães Barata,,,,,Manaus,1302603,AM,69073440,92,32143307,,,,,,,,,,,,,,"-3,134787","-59,992902",
,penhas,mapa_acolhimento,UBS Mauazinho,UBS,público,Saúde,Local,,Avenida,Rio Negro,111,,,Mauazinho,Manaus,1302603,AM,69075771,92,32155001,,32155008,,,,,,,,,,,,"-3,124658","-59,942843",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Cachoeirinha,CRAS,público,Assistência Social,Local,,Avenida,Carvalho Leal,1151,,,Cachoeirinha,Manaus,1302603,AM,69079030,92,36318607,,,,,,Não,07:00:00,14:00:00,Dias úteis,,,,,"-3,127103","-60,006302",
,penhas,mapa_acolhimento,UBS Dr. Alfredo Campos (esf-143),UBS,público,Saúde,Local,,Avenida,Cosme Ferreira,,,,Zumbi dos Palmares,Manaus,1302603,AM,69082230,92,36449416,,,,,,Não,07:00:00,21:00:00,Dias úteis,,,,,"-3,075336","-59,939784",Sábado funciona das 08h às 12h
,penhas,mapa_acolhimento,UBS Cacilda de Freitas,UBS,público,Saúde,Local,,Rua,Luis Corrente,450,,,Coroado III,Manaus,1302603,AM,69082701,92,36445932,,36445968,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,083678","-59,973109",
,penhas,mapa_acolhimento,UBS João Nogueira da Matta,UBS,público,Saúde,Local,,Rua,Drua Daniel,77,,,Zumbi Dos Palmares,Manaus,1302603,AM,69084150,92,32481175,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,081377","-59,945641",
,penhas,mapa_acolhimento,UBS Dr. José Amazonas Palhano,UBS,público,Saúde,Local,,Rua,Antonio Matias,,,,São José II,Manaus,1302603,AM,69085010,92,32497424,,36449879,,,,Não,07:00:00,18:00:00,Dias úteis,,,,,"-3,069244","-59,952589",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Anexo,CRAS,público,Assistência Social,Local,,Rua,J,,,,São José Operário,Manaus,1302603,AM,69085390,,,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,064303","-59,949816",
,penhas,mapa_acolhimento,Policlínica Dr. Antonio Comte Telles (esf-107),UBS,público,Saúde,Local,,Rua,J,,,,São José II,Manaus,1302603,AM,69085630,92,36397486,,,,,,Não,07:00:00,18:00:00,Segunda a sábado,,,,,"-3,061743","-59,950266",
,penhas,mapa_acolhimento,UBS Cacilda de Freitas,UBS,público,Saúde,Local,,Rua,Da Penetração,,,,São José II,Manaus,1302603,AM,69086011,92,32497286,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,071742","-59,929294",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - São José III,CRAS,público,Assistência Social,Local,,Rua,Rio Dimiti,22,,,São José Operário,Manaus,1302603,AM,69086050,,08007260101,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,069785","-59,943277",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - São José 4,CRAS,público,Assistência Social,Local,,Rua,Macajai,4,,,,Manaus,1302603,AM,69086131,,08007260101,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,066418","-59,940335",
,penhas,mapa_acolhimento,UBS Doutor Silas de Oliveira Santos,UBS,público,Saúde,Local,,Rua,Dezesseis,1,,,Gilberto Mestrinho,Manaus,1302603,AM,69086531,92,36315884,,,,,,Não,07:30:00,17:30:00,Dias úteis,,,,,"-3,075336","-59,946350",
,penhas,mapa_acolhimento,UBS Maria Leonor Brilhante,UBS,público,Saúde,Local,,Avenida,Autaz Mirim,,,,Tancredo Neves,Manaus,1302603,AM,69087215,92,32497080,,,,,,,,,,,,,,"-3,054866","-59,946967",
,penhas,mapa_acolhimento,UBS Dr. Gilson Moreira (esf-125),UBS,público,Saúde,Local,,Rua,Natal,,,,Zumbi II,Manaus,1302603,AM,69087570,92,36449490,,,,,,Não,08:00:00,17:30:00,Dias úteis,,,,,"-3,072617","-59,946950",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social Jorge Teixeira,CRAS,público,Assistência Social,Local,,Rua,2,17,,,Jorge Teixeira,Manaus,1302603,AM,69088031,92,32153828,,,,,cras.prourbis@pmm.am.gov.br,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,030882","-59,933269",
,penhas,mapa_acolhimento,UBS Waldir Bugalho de Medeiros,UBS,público,Saúde,Local,,Rua,Sete de Setembro,7,,,Jorge Teixeira,Manaus,1302603,AM,69088058,92,36820802,,,,,,Não,07:15:00,16:30:00,Dias úteis,,,,,"-3,027491","-59,920178",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social Leste - Manaus,CREAS,público,Assistência Social,Local,,Avenida,Avenida Itaúba,,,,Jorde Teixeira,Manaus,1302603,AM,69088240,92,32154620,,,,,,,,,,,,,,"-3,041559","-59,931567",
,penhas,mapa_acolhimento,UBS Dr. José Avelino Pereira (esf-102),UBS,público,Saúde,Local,,Rua,Cravinho,,,,Jorge Teixeira,Manaus,1302603,AM,69088464,92,36818937,,36818923,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,033668","-59,921734",
,penhas,mapa_acolhimento,Policlínica Enfª Anna Barrreto,UBS,público,Saúde,Local,,Avenida,Grande Circular,1665,,,Jorge Teixeira,Manaus,1302603,AM,69088480,92,36829173,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,023521","-59,933369",
,penhas,mapa_acolhimento,"UBS Enfermeira Josephina de Mello (esf-139, Esf-140, Esf-141)",UBS,público,Saúde,Local,,Rua,Cupiuba,415,,,Jorge Teixeira,Manaus,1302603,AM,69088736,92,36817213,,,,,,Não,07:30:00,17:30:00,Dias úteis,,,,,"-3,039957","-59,933367",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Jorge Teixeira,CRAS,público,Assistência Social,Local,,Travessa,Endro,17,,,Jorge Teixeira,Manaus,1302603,AM,69088742,92,32153828,,,,,,Não,08:00:00,13:00:00,Dias úteis,,,,,"-2,995073","-59,997234",
,penhas,mapa_acolhimento,"UBS Gebes de Melo Medeiros Filho (esf-154, Esf-155, Esf-156, Esf-157, Esf-158)",UBS,público,Saúde,Local,,Rua,Pirarucu,100,,,Jorge Teixeira III- Manaus,Manaus,1302603,AM,69088765,92,36386622,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,042680","-59,928741",
,penhas,mapa_acolhimento,UBS Geraldo Magela,UBS,público,Saúde,Local,,Rua,Rio Envira,442,,,Armando Mende,Manaus,1302603,AM,69089130,92,32155010,,32153806,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,089753","-59,943215",
,penhas,mapa_acolhimento,USF Armando Mendes,UBS,público,Saúde,Local,,Rua,Aragarças,,,,Manoa,Manaus,1302603,AM,69090772,92,35812273,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,022911","-59,996320",
,penhas,mapa_acolhimento,Policlínica Dr. José Antônio da Silva Pmo,UBS,público,Saúde,Local,,Rua,Aroeira,55,,,Monte das Oliveiras,Manaus,1302603,AM,69092482,92,32329992,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-2,998358","-59,997337",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Terra Nova,CRAS,público,Assistência Social,Local,,Avenida,Arquiteto José Henrique Bento Rodrigues,3760,,,Monte das Oliveiras,Manaus,1302603,AM,69093149,92,36412612,,,,,,,,,,,,,,"-2,998358","-59,997337",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social Norte - Manaus,CREAS,público,Assistência Social,Local,,Rua,Curió,28,,,Cidade Nova I,Manaus,1302603,AM,69095060,92,32146510,,,,,,,,,,,,,,"-3,028837","-59,981036",
,penhas,mapa_acolhimento,USF Dr. Áugias Gadelha,UBS,público,Saúde,Local,,Rua,A,,,,Conj. Ribeiro Júnior,Manaus,1302603,AM,69095580,92,36453908,,,,,,Não,07:00:00,21:00:00,Segunda a sábado,,,,,"-3,023464","-59,981723",Sábado funciona das 07h às 12h
,penhas,mapa_acolhimento,USF Balbina Mestrinho,UBS,público,Saúde,Local,,Rua,17,17,,,Cidade Nova II,Manaus,1302603,AM,69097157,92,36322536,,,,,,Não,07:00:00,21:00:00,Segunda a sábado,,,,,"-3,041627","-59,979764",Sábado funciona das 07h às 12h
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Cidade Nova Osvaldo Frota,CRAS,público,Assistência Social,Local,,Avenida,C,17,,,Cidade Nova,Manaus,1302603,AM,69097748,92,36363849,,,,,,Não,08:00:00,14:00:00,Dias úteis,,,,,"-3,015308","-59,972885",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada em Crimes Contra a Mulher - Norte/Leste,DECCM,público,Delegacia da Mulher,Local,,Rua,Nossa Senhora da Conceição,,,,Cidade de Deus,Manaus,1302603,AM,69099000,92,35822778,,35821610,,,,Não,08:00:00,17:00:00,Dias úteis,Sim,Sim,Sim,,"-3,017136","-59,973905",
,penhas,mapa_acolhimento,UBS Arthur Virgílio Filho,UBS,público,Saúde,Local,,Travessa,Dez,3015,,,Amazonino Mendes,Manaus,1302603,AM,69099107,92,988428330,,,,,,,,,,,,,,"-3,041689","-59,959002",
,penhas,mapa_acolhimento,USF Fátima Andrade,UBS,público,Saúde,Local,,Rua,52,52,,Nova Aleixo,Amazonino Mendes,Manaus,1302603,AM,69099270,92,36454776,,,,,,,,,,,,,,"-3,040079","-59,954807",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social Alfredo Nascimento,CRAS,público,Assistência Social,Local,,Rua,8,326,,,Cidade Nova,Manaus,1302603,AM,69099435,92,36464857,,,,,cras.alfredonascimento@pmm.am.gov.br,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,042291","-59,999735",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Mutirão,CRAS,público,Assistência Social,Local,,Rua,4,85,,Quadra 5,Cidade Nova,Manaus,1302603,AM,69099777,92,32146081,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,022737","-59,968027",
,penhas,mapa_acolhimento,Hospital Regional Jofre Cohen, ,público,Saúde,Regional,,Rua,Herbert Azevedo,985,,,Santa Clara,Parintins,1303403,AM,69151160,92,35334158,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-2,622582","-56,729045",
,penhas,mapa_acolhimento,Núcleo de Defesa da Mulher,NUDEM,público,Jurídico,Regional,,,,,,,,Manaus,1302603,AM,,92,984173249,,,,,,Não,08:00:00,14:00:00,Dias úteis,,,,Atendimento apenas por telefone,"-3,119028","-60,021731",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Amazonas - Manacapuru,DPE,público,Jurídico,Regional,,Rua,Almirante Tamandaré,1151,,,,Manacapuru,1302504,AM,69400000,92,33612353,,,,,,,,,,,,,,"-3,294014","-60,628232",
,penhas,mapa_acolhimento,Centro de Testagem e Aconselhamento Manacapuru - UBS Inconfidência,CTA,público,Saúde,Local,,Rua,Gaspar Fernandes,441,,,,Manacapuru,1302504,AM,69400000,92,33611846,,,,,,,,,,,,,,"-3,296839","-60,627296",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Manacapuru,CREAS,público,Assistência Social,Local,,Avenida,Pedro Moura,790,,,,Manacapuru,1302504,AM,69401308,,,,,,,,,,,,,,,,"-3,294460","-60,633760",
,penhas,mapa_acolhimento,Centro de Referência da Assistência Social - Manacapuru,CRAS,público,Assistência Social,Local,,Rua,Jamil Sefair,525,,,Novo Manacá,Manacapuru,1302504,AM,69401802,,08007260101,,,,,,,,,,,,,,"-3,279657","-60,647257",
,penhas,mapa_acolhimento,Hospital Regional de Tefé, ,público,Saúde,Regional,,Rua,Estrada do Bixiga,,,,Tefé,Manaus,1302603,AM,69470000,92,33432649,,,,,,,,,,,,,,"-3,120646","-59,984730",
,penhas,mapa_acolhimento,Penha Online, ,público,Serviço online,Regional,,,,,,,,Manaus,1302603,AM,,,,,,,,mariadapenha3@tjam.jus.br,Sim,,,,,sim,,,"-3,119028","-60,021731",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Amazonas - Polo do Médio Amazonas (Itacoatiara),DPE,público,Jurídico,Regional,,Avenida,Parque ,,,Shopping Itacoatiara,Centro,Manaus,1302603,AM,69100000,92,984556153,,129,,sim,dpitacoatiara@gmail.com,Não,08:00:00,14:00:00,Dias úteis,,,,Atendimento presencial somente com agendamento,"-3,119028","-60,021731",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Amazonas - Polo do Baixo Amazonas (Parintins),DPE,público,Jurídico,Regional,,Avenida,Paraíba,3771,,,Itaúna I,Parintins,1303403,AM,69152010,92,984556153,,,,sim,dpe.polobaixoamazonas@gmail.com,Não,08:00:00,14:00:00,Dias úteis,,,,Atendimento presencial somente com agendamento,"-2,632016","-56,733116",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Amazonas - Polo do Médio Solimões (Tefé),DPE,público,Jurídico,Regional,,Rua,Monteiro de Souza,629,,,Centro,Tefé,1304203,AM,69550000,92,984172747,,129,,sim,dpeam.mediosolimoes@gmail.com,Não,08:00:00,14:00:00,Dias úteis,,,,Atendimento presencial somente com agendamento,"-3,347370","-64,709200",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Amazonas - Polo do Alto Solimões (Tabatinga),DPE,público,Jurídico,Regional,,Rua,Coronel Berg,,,,Bairro das Comunicações,Tabatinga,1304062,AM,69640000,92,984282843,,129,,sim,dpeam.altosolimoes@gmail.com,Não,08:00:00,14:00:00,Dias úteis,,,,Atendimento presencial somente com agendamento,"-4,231456","-69,936936",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Amazonas - Polo do Madeira (Humaitá),DPE,público,Jurídico,Regional,,Rua,Circular Municipal,933,,,Novo Centenário,Humaitá,1301704,AM,69800000,92,984325668,,129,,sim,dpeamhumaita@gmail.com,Não,08:00:00,14:00:00,Dias úteis,,,,Atendimento presencial somente com agendamento,"-7,516961","-63,029851",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Macapá,DEAM,público,Delegacia da Mulher,Local,,Rua,São José,,,,Centro,Macapá,1600303,AP,68900093,96,32128136,,21012754,,,dccm@policiacivil.ap.gov.br,,,,,,,,,"0,050361","-51,084229",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Laranjal do Jari,DEAM,público,Delegacia da Mulher,Local,,Rua,Progresso,1176,,,Agreste,Laranjal do Jari,1600279,AP,68920000,96,36213904,,,,,,,,,,,,,,"-0,844366","-52,540262",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Crimes Contra a Mulher - Santana,DCCM,público,Delegacia da Mulher,Local,,Avenida,Santana,,,,Centro,Santana,1600600,AP,68928196,96,32814383,,,,,,,,,,,,,,"-0,030024","-51,180051",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial de Atendimento à Mulher - Salvador,DEAM,público,Delegacia da Mulher,Local,,Rua,Padre Luiz Figueira,,,,Engenho Velho de Brotas,Salvador,2927408,BA,40301110,71,31167000,,31167003,,,deam.brotas@pcivil.ba.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-12,990432","-38,500606",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial de Atendimento à Mulher - Salvador,DEAM,público,Delegacia da Mulher,Local,,Rua,Doutor Almeida,72,,,Periperi,Salvador,2927408,BA,40720070,71,31178217,,31178205,,,deamperiperi@hotmail.com,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-12,863685","-38,472984",
,penhas,mapa_acolhimento,Defensoria Pública do Estado da Bahia - Salvador,DPE,público,Jurídico,Regional,,Avenida,Ulisses Guimarães,3386,,Ed. Multicab Empresarial,Sussuarana,Salvador,2927408,BA,41219400,,129,,,,,agendamento129@defensoria.ba.def.br,Sim,00:00:00,23:59:00,Todos os dias,,Sim,,,"-12,941083","-38,430062",Atendimento online é 24h
